anio,sexo,via,continente,rango_edad,total
2023,Hombre,Vía terrestre,Oceanía,40-59,53
2023,Hombre,Vía Marítimo,África,25-39,53
2023,Hombre,Vía terrestre,Oceanía,60+,50
2023,Mujer,Vía terrestre,Asia,60+,44
2023,Hombre,Vía Marítimo,Asia,<25,43
2023,Mujer,Vía Marítimo,África,25-39,40
2023,Hombre,Vía fluvial,América,60+,37
2023,Hombre,Vía fluvial,Europa,25-39,37
2023,Mujer,Vía terrestre,Oceanía,<25,32
2023,Mujer,Vía terrestre,Oceanía,40-59,32
2023,Hombre,Vía Marítimo,Asia,60+,30
2023,Hombre,Vía terrestre,África,25-39,29
2023,Mujer,Vía fluvial,América,60+,29
2023,Mujer,Vía Marítimo,Asia,40-59,28
2023,Indefinido,Vía Aérea,América,25-39,28
2023,Indefinido,Vía Aérea,América,<25,27
2023,Hombre,Vía Marítimo,Oceanía,25-39,26
2023,Mujer,Vía fluvial,Europa,25-39,26
2023,Mujer,Vía Marítimo,Asia,25-39,26
2023,Hombre,Vía terrestre,África,40-59,23
2023,Indefinido,Vía terrestre,América,25-39,20
2023,Hombre,Vía Marítimo,Oceanía,40-59,19
2023,Indefinido,Vía terrestre,América,<25,18
2023,Mujer,Vía Marítimo,Asia,60+,16
2023,Hombre,Vía fluvial,Europa,<25,14
2023,Mujer,Vía Marítimo,Oceanía,25-39,13
2023,Mujer,Vía Marítimo,Oceanía,40-59,13
2023,Hombre,Vía fluvial,Europa,40-59,13
2023,Indefinido,Vía Aérea,América,40-59,12
2023,Hombre,Vía Marítimo,África,40-59,11
2023,Hombre,Vía terrestre,África,<25,10
2023,Mujer,Vía fluvial,Europa,<25,10
2023,Mujer,Vía terrestre,África,40-59,10
2023,Mujer,Vía terrestre,África,25-39,9
2023,Mujer,Vía terrestre,Oceanía,60+,9
2023,Hombre,Vía terrestre,África,60+,8
2023,Hombre,Vía fluvial,Europa,60+,7
2023,Mujer,Vía terrestre,África,<25,7
2023,Indefinido,Vía terrestre,América,40-59,7
2023,Hombre,Vía Marítimo,África,60+,7
2023,Mujer,Vía Marítimo,África,40-59,6
2023,Mujer,Vía Marítimo,Oceanía,<25,6
2023,Indefinido,Vía Aérea,Europa,<25,6
2023,Hombre,Vía Marítimo,África,<25,6
2023,Mujer,Vía Marítimo,África,<25,6
2023,Indefinido,Vía Aérea,Europa,40-59,6
2023,Indefinido,Vía Aérea,Europa,25-39,5
2023,Indefinido,Vía Aérea,América,60+,4
2023,Mujer,Vía terrestre,África,60+,4
2023,Hombre,Vía Marítimo,Oceanía,<25,3
2023,Mujer,Vía Marítimo,Asia,<25,3
2023,Indefinido,Vía Aérea,Asia,40-59,3
2023,Mujer,Vía fluvial,Europa,60+,3
2023,Indefinido,Vía Marítimo,América,60+,2
2023,Hombre,Vía fluvial,Oceanía,25-39,2
2023,Hombre,Vía fluvial,Asia,40-59,2
2023,Indefinido,Vía terrestre,América,60+,2
2023,Mujer,Vía fluvial,Asia,25-39,2
2023,Mujer,Vía Marítimo,África,60+,2
2023,Indefinido,Vía terrestre,Asia,<25,1
2023,Indefinido,Vía Marítimo,Asia,40-59,1
2023,Indefinido,Vía Aérea,Asia,<25,1
2023,Mujer,Vía fluvial,Oceanía,25-39,1
2023,Indefinido,Vía Marítimo,Asia,<25,1
2023,Indefinido,Vía terrestre,Europa,60+,1
2023,Indefinido,Vía Aérea,Europa,60+,1
2023,Indefinido,Vía terrestre,Europa,40-59,1
2023,Indefinido,Vía Aérea,África,25-39,1
2023,Mujer,Vía fluvial,Europa,40-59,1
2023,Indefinido,Vía Aérea,Asia,25-39,1
2023,Mujer,Vía fluvial,Asia,<25,1
2023,Indefinido,Vía Marítimo,Europa,40-59,1
2024,Hombre,Vía Aérea,América,40-59,60256
2024,Mujer,Vía Aérea,América,<25,50881
2024,Mujer,Vía Aérea,América,40-59,50388
2024,Hombre,Vía Aérea,América,25-39,50103
2024,Hombre,Vía Aérea,América,<25,47323
2024,Mujer,Vía Aérea,América,25-39,44431
2024,Mujer,Vía Aérea,América,60+,40069
2024,Hombre,Vía Aérea,América,60+,38714
2024,Hombre,Vía terrestre,América,25-39,34201
2024,Hombre,Vía terrestre,América,40-59,28099
2024,Mujer,Vía terrestre,América,25-39,24774
2024,Mujer,Vía terrestre,América,40-59,21183
2024,Hombre,Vía Aérea,Europa,40-59,18906
2024,Hombre,Vía terrestre,América,<25,17457
2024,Hombre,Vía Aérea,Europa,25-39,17070
2024,Mujer,Vía Aérea,Europa,40-59,15786
2024,Mujer,Vía terrestre,América,<25,15779
2024,Mujer,Vía Aérea,Europa,25-39,15183
2024,Mujer,Vía Aérea,Europa,<25,13792
2024,Hombre,Vía Aérea,Europa,<25,12633
2024,Hombre,Vía Aérea,Europa,60+,11104
2024,Hombre,Vía terrestre,América,60+,9389
2024,Mujer,Vía Aérea,Europa,60+,9269
2024,Mujer,Vía terrestre,América,60+,8974
2024,Hombre,Vía Aérea,Asia,25-39,7165
2024,Hombre,Vía Aérea,Asia,40-59,6108
2024,Mujer,Vía Aérea,Asia,25-39,3816
2024,Mujer,Vía Aérea,Asia,40-59,3298
2024,Hombre,Vía Aérea,Asia,<25,2073
2024,Hombre,Vía terrestre,Europa,25-39,2050
2024,Mujer,Vía terrestre,Europa,25-39,1670
2024,Mujer,Vía Aérea,Oceanía,60+,1460
2024,Mujer,Vía Aérea,Asia,<25,1402
2024,Hombre,Vía Aérea,Asia,60+,1290
2024,Hombre,Vía Aérea,Oceanía,60+,1281
2024,Mujer,Vía Aérea,Asia,60+,1269
2024,Mujer,Vía Aérea,Oceanía,25-39,1056
2024,Hombre,Vía Aérea,Oceanía,25-39,973
2024,Hombre,Vía terrestre,Europa,40-59,929
2024,Mujer,Vía Aérea,Oceanía,40-59,873
2024,Hombre,Vía terrestre,Europa,<25,810
2024,Hombre,Vía Aérea,Oceanía,40-59,742
2024,Mujer,Vía terrestre,Europa,<25,719
2024,Hombre,Vía terrestre,Europa,60+,597
2024,Mujer,Vía terrestre,Europa,40-59,464
2024,Mujer,Vía Aérea,Oceanía,<25,357
2024,Hombre,Vía Marítimo,Europa,40-59,336
2024,Hombre,Vía Marítimo,Asia,25-39,330
2024,Hombre,Vía Aérea,Oceanía,<25,295
2024,Hombre,Vía Marítimo,Europa,60+,287
2024,Hombre,Vía Aérea,África,25-39,264
2024,Hombre,Vía Marítimo,Europa,25-39,254
2024,Mujer,Vía terrestre,Europa,60+,254
2024,Hombre,Vía Marítimo,América,60+,248
2024,Hombre,Vía terrestre,Asia,25-39,241
2024,Mujer,Vía Marítimo,América,60+,231
2024,Mujer,Vía Marítimo,Europa,60+,214
2024,Hombre,Vía Marítimo,Asia,40-59,194
2024,Hombre,Vía Aérea,África,40-59,192
2024,Hombre,Vía Marítimo,América,40-59,166
